Input,Prediction,Target
chutalaimaatan,சுதலியாடட்,சுடலைமாடன்
melton,மெல்டின்,மெல்டன்
shahjahanpur,ஷவ்ஜன்ப்்்்,ஷாஜஹான்புர்
kyubaa,கியாப்,கியூபா
sadhavaahana,சதவான,சதவாஹன
aapogusil,ஆபுசுசில்,ஆப்போகசில்
olympia,ஒல்மையிட்,ஒலிம்பியா
centro,சென்றோர்,சென்ட்ரோ
itheyvelai,இதேய்வில்,இதேவேளை
amaiththirunthavargal,அமைத்திர்க்ர்ர்ள்,அமைத்திருந்தவர்கள்
japan,ஜபனன்,ஜப்பான்
nasreen,நாஸஸ்ரி,நஸ்ரின்
puthucheri,புதுதிரி,புதுச்சேரியை
haaris,ஹாரிச்,ஹாரிஸ்
emile,எமில்,எமிலி
seyalpadumpothu,செயல்பபபபுுதுு,செயல்படும்போது
viduththullathu,விடுத்துளுது,விடுத்துள்ளது
kuraikkappattulladhu,குறைக்கப்பட்ட்ட்ளு்,குறைக்கப்பட்டுள்ளது
forge,போர்க்,ஃபோர்ஜ்
sekariththu,செகரதத்து,சேகரித்து
kuraindhdhavargal,குறைந்தாவவ்கள்,குறைந்தவர்கள்
silica,சிலிச்,சிலிக்கா
vaachiththavatrin,வாசித்தவரர்ன்,வாசித்தவற்றின்
praem,பிரைம்,பிரேம்
kooriyiruppadhaavadhuk,கூரியிப்படுதததுுு்,கூறியிருப்பதாவதுஃ
majesco,மாஜசோச்,மஜெஸ்கோ
fro,பிரோன்,ப்ரோ
vegappandhu,வெபப்படுது,வேகப்பந்து
pompano,போம்பன்,போம்பனோ
seidhullaargal,செய்துள்களளளளள்,செய்துள்ளார்கள்
vetrtrita,வெற்றிட்,வெற்றிட
kelvinn,கெல்வின்ன்,கெல்வின்
cholar,சோலர்,சோழர்
kelwiin,கெல்வின்,கெல்வின்
taklas,தக்கல்,டக்ளஸ்
vaanginaal,வான்கின்ன்,வாங்கினால்
vanthiyathevan,வந்தியவததத்,வந்தியத்தேவன்
adheedhamaana,அததமமா,அதீதமான
thara,தரா்்,தாரா
maruththullathu,மருத்துளுகும்,மறுத்துள்ளது
aalaiyum,ஆலையும்,ஆலையம்
kozhuppil,கொழுப்பில்,கொழுப்பில்
kiuubaa,கியா,கியூபா
varavirukkum,வரரித்துகுக்,வரவிருக்கும்
kolunthu,கொலுந்து,கொழுந்து
akola,அகோகோ,அகோலா
vaanggich,வாங்கிக்,வாங்கிச்
athumattumillamal,அதுமட்ட்்ல்லலல்,அதுமட்டுமல்லாமல்
cet,செட்ட,பம்ப்
commerce,கோம்ரச்ச்,காமர்ஸ்
tourisamaaga,ரொரியாாகக,டூரிஸமாக
anniyaraanaar,அன்னியா்ர்்,அந்நியரானார்
santhiraashtamam,சந்திராமாததத்,சந்திராஷ்டமம்
yeppadich,யேப்படிச்,எப்படிச்
paathaiyaip,பாதையைப்,பாதையைப்
collins,கோல்லின்்,காலின்ஸ்
renewables,ரெனரிப்ப்்,ரென்யூவபில்ஸ்
aanaiyaththil,ஆணையத்தில்,ஆணையத்தில்
thambadhiyinarukku,தம்பதிக்கககககுு,தம்பதியினருக்கு
africavai,அப்ரிக்ில்,ஆப்பிரிக்காவை
vaakkuvaathathil,வாக்குவததததத்,வாக்குவாதத்தில்
thaandavamaagath,தாண்டவாாாாா,தாண்டவமாகத்
payirgalaith,பயிர்களைய்,பயிர்களைத்
vidayamaaka,விடாாாா,விடயமாக
kuuttamum,குட்டமும்,கூட்டமும்
wellsh,வெள்ல்ச்,வெல்ஷ்
maaligaikku,மாலைக்குகு,மாளிகைக்கு
kanduvarugindraargal,கண்டுவர்்்்்்்்கக்்,கண்டுவருகின்றார்கள்
apex,அப்பி,அபெக்ஸ்
nutrruvargalukku,நுற்றுவதுகுகககு,நூற்றுவர்களுக்குக்
leten,லெட்னன்,லத்தீன்
makilchchiyudan,மகிச்ச்சியிட்ல்,மகிழ்ச்சியுடன்
thaangak,தாங்கக்,தாங்கக்
zordan,டோர்டன்,ஜோர்டான்
aasiriyargalukku,ஆசியரரககககககுு்,ஆசிரியர்களுக்கு
aayeraththu,ஆயயதததது,ஆயிரத்து
innel,இன்னில்,இன்னல்
seiyyappaduvathum,செய்யப்படுதததுுு,செய்யப்படுவதும்
solapuram,சொலபுரரம்,சோழபுரம்
karthikeeyan,கர்திக்கானன,கார்த்திகேயன்
ontruthirandulla,ஒன்றுத்த்்்ளளல்,ஒன்றுதிரண்டுள்ள
tanu,தனுன்,தனு
seyarpatiruppadhaaga,செயற்பபபப்்து்்்்,செயற்பட்டிருப்பதாக
vaiththiyanaatha,வைத்தியதான,வைத்தியநாத
cigniti,கிக்யினி,சிஃக்னிடி
thamilakatthilum,தமில்்துததும்,தமிழகத்திலும்
asoogaavai,அசூகாவை,அசோகாவை
akaththikkeerai,அகத்திக்கின்,அகத்திக்கீரை
excel,எக்களலல்,எக்ஸெல்
immakkal,இம்மக்கள்,இம்மக்கள்
koottatthai,கூட்டதைய்,கூட்டத்தை
vivariththullaar,விவரதத்த்ள்ளளள்,விவரித்துள்ளார்
veettukkul,வீட்டுக்குக்,வீட்டுக்குள்
insurance,இன்சசசசசச்,இன்சூரன்ஸ்
koduppathaaga,கொடுப்பாாக,கொடுப்பதாக
japanai,ஜபனனை,ஜப்பானை
santhiththup,சந்தித்துப்,சந்தித்துப்
karunakaran,கருனன்ன்,கருணாகரன்
appadip,அப்படிக்,அப்படிப்
kaidhigalai,கைகியைை,கைதிகளை
thamilagatthilum,தமில்்துததும்,தமிழகத்திலும்
poola,போலா்,போலா
kandarinththa,கண்டிித்த்,கண்டறிந்த
palakaiyin,பலகியின்,பலகையின்
inrith,இன்தித்,இன்றித்
thodarbugalaiyum,தொடர்புகளிகும்,தொடர்புகளையும்
logistics,லோகிக்கிட்,லாஜிஸ்டிக்ஸ்
noolagangkal,நூலககககள்,நூலகங்கள்
nanmaiyae,நம்மையை,நன்மையே
neeraith,நீரைத்,நீரைத்
kovaiyin,கொவையின்,கோவையின்
uudakam,ஊடகக்,ஊடகம்
thamizhakatthaich,தமிழ்்த்தைை,தமிழகத்தைச்
deepanggal,தீஙங்கக்்,தீபங்கள்
wladimir,விலரிரரி,விளாடிமிர்
uruppugalaiyum,உறுப்புகளையும்,உறுப்புகளையும்
mikkavargalaiyum,மிக்கவியுககககும,மிக்கவர்களையும்
assam,அச்சம்,அசாம்
mudiyalai,முடியலை,முடியலை
melaadhikkangal,மெலித்க்க்ககக்,மேலாதிக்கங்கள்
aerpadum,ஏற்படும்,ஏற்படும்
amrishtaril,அமிர்த்தில்்,அம்ரிஸ்டரில்
latchaththirkum,லட்சத்துக்குு்,லட்சத்திற்கும்
unavuch,உணவுக்,உணவுச்
aarae,ஆரா,ஆறே
kovindhaiyum,கொழிந்துமும்,கோவிந்த்தையும்
munnuthaaranamaaga,முன்நுதாாாாா்,முன்னுதாரணமாக
olsen,லல்ஸின்,ஆல்சென்
elagip,எகபிப்,எளகிப்
odici,ஒடிச்ட,ஒடிசி
udhagamandalam,உதகாால்்்்,உதகமண்டலம்
alaihi,அழையி,அலைஹி
evaiyae,எவையே,இவையே
geethanjali,கீதன்சால்,கீதாஞ்சலி
pethonn,பெத்னின்,பைதான்
kalyaana,கல்யானன,கல்யாண
kaahpi,காப்பி,காஃபி
volgaa,வோல்க,வோல்கா
parisoathiththu,பரிச்தித்த்,பரிசோதித்து
perth,பெர்த்,பெர்த்
kadhaanaayaki,கதானாிய்,கதாநாயகி
newark,நாவர்க்,நியூவார்க்
diie,டையா,டை
padippaith,படிப்பித்,படிப்பைத்
adhirchchiyadaindha,அதிர்ச்சியியைய்,அதிர்ச்சியடைந்த
uthadugalla,உடதுகள்ல,உதடுகள்ல
aliyum,அலியும்,அலியும்
gita,கிட்்,கீதை
veruththa,வெருத்த,வெறுத்த
kotturu,கொட்டுறு,கோட்டுரு
nelson,நெல்ஸின்,நெல்சன்
cubavil,குபலில்,கியூபாவில்
kadarkaraiyil,கடற்றகியில்,கடற்கரையில்
peravaith,பெரவவை்,பேரவைத்
chankankalukku,சங்கங்குககுகு,சங்கங்களுக்கு
saethamadainththu,சேதததத்த்து,சேதமடைந்தது
udambai,உடம்பை,உடம்பை
vidhya,வித்ய,வித்தியா
strong,ஸ்றிர்க்,ஸ்ட்ராங்
azhiththanar,அழித்தர்,அழித்தனர்
baka,பகக்,பகா
ventum,வெண்டும்,கிடைக்க
aangalukkaana,ஆங்கள்க்க்,ஆண்களுக்கான
kalvikkaka,கல்விகககக,கல்விக்காக
uyirvaalum,உயிர்விலும்,உயிர்வாழும்
asokan,அசோக்்,அசோகன்
thamilakatthukku,தமில்ககுகுகுு்,தமிழகத்துக்கு
theriviththullathaga,தெரிவித்த்ளளளள்்,தெரிவித்துள்ளதாக
deoghar,டேகரா்,டியோகர்
mikkathu,மிக்கதுத,மிக்கது
uththirappiradhesa,உத்திரப்பப்்த்,உத்தரப்பிரதேச
inththiyaavai,இந்தியையை,இந்தியாவை
manudhaarar,மனுதாரர்,மனுதாரர்
nikazhvukalaal,நிகழ்வுவளகள்,நிகழ்வுகளால்
thandanaiyilirundhu,தண்ணை்யியிதுதுுு,தண்டனையிலிருந்து
sura,சுரா்,சுரா
seimadhi,செய்மத்,செய்மதி
pearland,பெர்லன்ட்்,பியர்லேண்ட்
pinpuramaaka,பின்பாராகக,பின்புறமாக
naarkaali,நார்கால்,நாற்காலி
ivanga,இவங்க,இவங்க
yeitha,யேய்த,எய்த
yedhirkka,தெரித்கக்,எதிர்க்க
inaithidumaaru,இணைதிடுமும்,இணைத்திடுமாறு
seigira,செய்கிர்,செய்கிற
kadambur,கடம்புர்,கடம்பூர்
ivanaippaadiya,இைனைப்படையை,இவனைப்பாடிய
pasukkazhil,பசுக்கதில்,பசுக்களில்
kandarinthanar,கண்டரின்்்ன்,கண்டறிந்தனர்
quuantuumm,குணாட்டும்,குவாண்டம்
munvaiththaar,முன்வாவித்தத,முன்வைத்தார்
pachchaanaip,பச்சான்ப்,பச்சானைப்
snow,ஸ்வோ,ஸ்ணோ
thalaiyittu,தலையிடுடு,தலையிட்டு
delhi,தெளில்,டெல்லி
fernandez,பெர்னன்னன்,பெர்ணான்டஸ்
mitra,மிற்ற,மித்ரா
kei,கெய்,சாவி
mandadi,மண்டடி,மண்டடி
quuantam,குணத்தம,குவாண்டம்
vaedhi,வேதி,வேதி
kaalaththai,காலத்தை,காலத்தை
ilakkiyaththuraikalukku,இலக்கியத்துகககுகுு,இலக்கியத்துறைகளுக்கு
sosalisa,சோசசிய,சோசலிச
abuthaabiyil,அபுதிபிிிிி,அபுதாபியில்
alam,அலம்,அலம்
amaitthukkondullathu,அமைத்துக்குக்க்க்ள்,அமைத்துக்கொண்டுள்ளது
manipur,மனிபுரு,மணிப்பூர்
aaivukkaana,ஆன்வுக்கா,ஆய்வுக்கான
pukazhpetraar,புகழ்பிர்ர்ர்,புகழ்பெற்றார்
bhiwani,பிவானன,பிவானி
ezhuthiyullathu,எழுதியுலுகும்,எழுதியுள்ளது
yelimaiyaaka,யிளிமையா,எளிமையாக
maalaikal,மாலைகள்,மாலைகள்
bathilum,பதிலும்,பதிலும்
varigal,வரிகள்,வரிகள்
deccan,ட்க்னன்,டெக்கான்
dhonee,தொன்ன,டோனி
apinaya,அபினா,அபிநய
yeluthiyullathu,யெுுளியுலும்ம்,எழுதியுள்ளது
sollukkaana,சொல்லுக்கான,சொல்லுக்கான
siridhazhavu,சிறிவவுு,சிறிதளவு
yookan,யோகன்,யோகன்
thodankinen,தொடங்கின்ன்,தொடங்கினேன்
fatima,பதிமா,ஃபாடிமா
thiriththanna,திரித்தனனன,திரித்தன்ன
gandhimathi,கண்திததித,காந்திமதி
suthamana,சுதமான,சுத்தமான
ilanthu,இலந்து,இழந்து
avathaaranggal,அவதார்களக்,அவதாரங்கள்
tharukintraar,தருகியிற்ற்,தருகின்றார்
aandilirunththu,ஆண்டிலிறுதுது,ஆண்டிலிருந்து
goolda,கோல்ட,கோல்ட்
ellison,எல்லிச்,எலிசன்
athithamana,அதிதமா,அதீதமான
orangal,ஒரங்கள்,ஓரங்கள்
sreenivaasan,ஸ்ரீரினினனன்,ஸ்ரீநிவாசன்
paava,பாவ்்___________________,பாவ
ottik,ஒட்டிக்,ஒட்டிக்
palagaiyil,பலகியில்,பலகையில்
kulanthaai,குலந்திய,குழந்தாய்
paathikkap,பாதிக்கப்,பாதிக்கப்
kathirveecchin,கதிர்சிச்ச்ன்,கதிர்வீச்சின்
indhuk,இந்துக்,இந்துக்
ventures,வென்டிர்்்,வெண்சூர்ஸ்
monterey,மொன்டிய்,மான்டிரே
izhuthupottavar,இழுதுப்படட்ட்,இழுத்துப்போட்டவர்
povatharku,போவத்துக்,போவதற்கு
aagividum,ஆகிவிடும்,ஆகிவிடும்
padutthiya,படுத்தி,படுத்திய
mudhalvarai,முதர்வவ்,முதல்வரை
thalaimaith,தலைமைத்,தலைமைத்
thoarruviththaar,தோர்றுவிற்ததத்,தோற்றுவித்தார்
kannikalaich,கண்ணிக்ைைை,கண்ணிகளைச்
kaimioo,கைமோன்,கேமியோ
veentum,வீண்டும்,குளிக்க
devaalayam,தேவாலாம்,தேவாலயம்
veluththu,வெளுத்து,வெளுத்து
ooduruvalgalukkum,ஓடுவுுளுகளுகுகு்,ஊடுருவல்களுக்கும்
naattavargazh,நாட்டவரரகக்,நாட்டவர்கள்
killeen,கில்லின்,கில்லீன்
kuudumaana,குமுமான,கூடுமான
kool,கோலோ,கூல்
thiranaalikalukkaana,திரனனளிகளகககககக்,மாற்றுத்
seiyappattan,செய்பன்பட்டட்,செய்யப்பட்டான்
vanggak,வங்கக்,வங்கக்
mupparimaana,முப்பாினனன,முப்பரிமாண
makizhunthu,மகிழ்நுது,மகிழுந்து
ippodhey,இப்பித்,இப்போதே
udalparumanukkum,உடல்பருக்குகுகு,உடல்பருமனுக்கும்
bye,பியோ,பை
mukaitheen,முதையான்,முகைதீன்
ther,தெர்்்,தேர்
aarvamum,ஆர்வமும்,ஆர்வமும்
railgal,ரைங்கள்,ரயில்கள்
woonsocket,வோச்சிக்க்்்,வூன்சாகெட்
paththaandu,பத்தான்டு,பத்தாண்டு
sasthri,சா்திர்,சாஸ்திரி
sangiligal,சங்கில்ள்,சங்கிலிகள்
kinna,கின்ன,கிண்ண
uthaviyaalargal,உதவியாள்்கள்்,உதவியாளர்கள்
aaksuvaris,ஆக்சிரரரர,ஆக்சுவரிஸ்
evu,எவுவ்,ஈவு
vaakuvaadham,வாகுவாதது,வாக்குவாதம்
aayeraththai,ஆயயதத்தை,ஆயிரத்தை
thodarbuth,தொடர்புத்,தொடர்புத்
rahman,ரா்மன்,ரஹ்மான்
miqii,மிகிக்,மிக்கி
kaavalthuraip,கவவர்்்க்க்,காவல்துறைப்
cincinnati,சின்கின்டனன,சின்சினாட்டி
goodyear,கோட்யரரர,குட்யியர்
naalgalil,நால்களில்,நாள்களில்
rand,ராந்த,ரேண்ட்
idaippaguthiyilulla,இடைப்படுக்களள்்,இடைப்பகுதியிலுள்ள
saregama,சராகமம,ஸரிகம
heidelbergceat,ஹெய்டெல்ப்ப்்்்்,ஹைடில்பெர்க்சியேட்
nicotine,நிடோட்டின்,நிகோடின்
vitayamaaga,விதாாாாக,விடயமாக
paathiyaaka,பாதியாக,பாதியாக
musleem,முஸ்லிம்,முசுலீம்
nadaththinar,நடத்தின்்,நடத்தினா்
thamillaiyum,தமிலையும்ம்,தமிழையும்
ain,ஆன்ன்,ஆன்
mukaththuvaaraththil,முகத்தததததததததல்,முகத்துவாரத்தில்
thoguththaar,தொகுத்திர்,தொகுத்தார்
thodarbukalil,தொடர்ப்ளளளல்,தொடர்புகளில்
anpaip,அன்பாப்,அன்பைப்
aalaaga,ஆளாக,ஆளாக
hattiesburg,ஹட்்டிர்க்ப்ப்,ஹட்டீஸ்பர்க்
capsyulukku,கேச்சுளைகுகுக்,கேப்ஸ்யூலுக்கு
odyssey,ஒேேச்சிய,ஒடிசி
kulaththinaraik,குலத்திக்கக்,குலத்தினரைக்
euro,ஈரோன்,யூரோ
iniyaavadhu,இனியாவது,இனியாவது
sugar,சுகர்,சுகர்
chakkarattaip,சக்கப்பட்ட்,சக்கரத்தைப்
darpoo,டாப்போ,டர்போ
maruththuvamanaikal,மருத்துவவகககக்,மருத்துவமனைகள்
ggoo,கோகு,கூ
vaiththiyasaalaiyin,வைத்தியயியியை,வைத்தியசாலையின்
sikar,சிகர்,சிகர்
mandabaththinullea,மண்டட்த்த்ிிலல்,மண்டபத்தினுள்ளே
nelsan,நெல்்ா்,நெல்சன்
arai,அரைய்,அரை
irumal,இருமல்,இருமல்
mision,மிசின்,மிஷன்
siridhu,சிரிது,சிறிது
udagaththai,உடத்ததை,ஊடகத்தை
aaruroodu,ஆருர்டு,ஆறுரோடு
kadarkaraiyilirundhu,கடற்கரியிருருுுுு,கடற்கரையிலிருந்து
kolin,கொலின்,கோளின்
thokaiyee,தொகையி,தொகையே
maalaiyum,மாலையும்,மாலையும்
thanikthanik,தனித்கக்க்,தனித்தனிக்
rekla,ரெக்க,ரேக்ளா
pilaikalai,பிலைகளை,பிழைகளை
cuubaa,குபாப___________________,கியூபா
manaiviyidam,மனிவியடடட்,மனைவியிடம்
visaka,விசகக,விசாகா
azhagi,அழகிக___________________,அழகி
keats,கேச்ட,கீட்ஸ்
kevalmna,கேவலானன்,கேவலம்னா
purigindranar,புரிகின்ன்ன்,புரிகின்றனர்
vaakkittu,வாக்குடுடு,வாக்கிட்டு
cofee,கோப்ப,காஃபி
uyarmanithargal,உயர்மத்திக்்்,உயர்மனிதர்கள்
seidharth,செய்தத்த்,சித்தார்த்
surrivara,சுர்வரர,சுற்றிவர
kuuttaaka,குட்டக்,கூட்டாக
paarththukondu,பார்த்துக்குக்,பார்த்துக்கொண்டு
adhanadippadaiyil,அததப்படிடியிய்,அதனடிப்படையில்
redar,ரேரர்,ரேடார்
dhayalan,தயல்்,தயாளன்
valinadaththinaar,வளிநத்தத்தனன்,வழிநடத்தினார்
sarangpur,சரங்குப்ப்,சாரங்பூர்
independence,இன்டென்்னனனன,இண்டிபெண்டென்ஸ்
antriravu,அன்றவரவ,அன்றிரவு
pilaant,பிலான்ட்,பிளாண்ட்
kuutapata,குடபட்,கூட்டப்பட்ட
soozhappattullathu,சூழப்படுட்ுுக்்,சூழப்பட்டுள்ளது
yooth,யோத்,யூத்
karachii,கரசசசி,கராச்சி
jaunpur,ஜென்புப்,ஜவுன்புர்
veliyaagavillai,வெளியாகவியைய்,வெளியாகவில்லை
crest,கிர்ஸ்ட்,க்ரெஸ்ட்
tholaipaesi,தொலைசிச்,தொலைபேசி
gtpl,க்ட்லல்,ஜிடிபியல்
thukkamadaiyum,துக்கமையமமம்,துக்கமடையும்
villiyam,வில்லியமம,வில்லியம்
vulagak,வுகக்க,உலகக்
azhukku,அழுக்கு,அழுக்கு
firozpur,பிரோபுறுற்,ஃபிரோஸ்புர்
baliga,பாலிக,பாலிகா
pallavargal,பல்லவரரளள்,பல்லவர்கள்
pathulaiyil,பதுலையில்,பதுளையில்
thaniththanmaiyaana,தனித்தமாயானனன,தனித்தன்மையான
valanguvathudan,வளங்குவத்த்,வழங்குவதுடன்
serverukku,செர்வேருகுக்,சர்வருக்கு
atharkerpa,அதர்க்க்,அதற்கேற்ப
thurubadhanaana,துருபதான்,துருபதானான
maliq,மலிி,மாலிக்
conner,கோன்னோ்,கொன்னர்
koly,கொல்ல,கோலி
chalukkiyarkal,சலுக்கிக்கள்்,சாளுக்கியர்கள்
mcmahon,ம்ம்மம்்,மெக்மஹான்
vazhipattukkollalaam,வழிபட்டுக்்்ளுளுு்்,வழிபட்டுக்கொள்ளலாம்
hpaarm,ஹாபாராம்,ஃபார்ம்
kozhukkattai,கொழுக்கட்ட்,கொழுக்கட்டை
khammam,கமமமம்,கம்மம்
ahamadabad,அபமதபப்,அகமதாபாத்
katarkarai,கடற்றகை,கடற்கரை
piratecam,பிடட்டம்்,மத்தியப்
verumaiyaaga,வெருமையா,வெறுமையாக
molina,மொலின,மொலினா
kadapa,கடபப்,கடப்பா
malaikaattugalin,மலைக்க்கிட்க்்,மலைக்காட்டுகளின்
varuvaayth,வருவாய்,வருவாய்த்
nasavil,நாவிலில்,நாசாவில்
theendaamai,தீண்டாமை,தீண்டாமை
jagaragallu,ஜககரளளுு,ஜகரகள்ளு
reading,டீடிக்க,ரீடிஞ்
morena,மூரான,மொரீனா
kidaikkindra,கிடைக்கிற்ன்,கிடைக்கின்ற
sonthamaa,சொந்தமா,சொந்தமா
titaniuumm,திடாியமம்ம்,டைட்டானியம்
qamio,காமி,கேமியோ
loodhana,லோதான,லூதியானா
seidhavarukku,செய்வதுகககக,செய்தவருக்கு
poruththappattirukkum,பொருத்தப்பட்டுட்டுுு,பொருத்தப்பட்டிருக்கும்
karrachi,கர்ரசசசச,கராச்சி
kambankal,கம்பக்கள்,கம்பங்கள்
yaaaraenum,யாரானும்,யாரேனும்
americaavai,அமிர்சியைய்,அமெரிக்காவை
ungalukkaana,உங்கள்க்க்,உங்களுக்கான
kooriyathaavathu,கூரியதததத,கூறியதாவதுஃ
ekadarinaa,எககரினன,எகடரினா
seibavargalukkum,செய்பவரருககககுு்,செய்பவர்களுக்கும்
serverkal,செர்வேர்க்,சர்வர்கள்
kattumaanam,கட்டுமானம்,கட்டுமானம்
varadhan,வரதன்,வரதன்
virichal,விரிச்சல,விரிசல்
uudaaka,ஊடகக்,ஊடக
busyaaga,புச்சாக,பிசியாக
hydro,ஹிர்ர்,ஹைட்ரோ
niraivetru,நிறைவேறு,நிறைவேற்று
villupuram,விள்புபுபும்,விழுப்புரம்
waee,வேய்,வேய்
tobaggo,டோகப்க்,டொபாகோ
murpattaar,முற்பட்ட்்்,முற்பட்டார்
noushathin,நோதாின்,நெளஷதின்
magana,மகனன்,மகனா
ahmadabad,அப்தப்பட,அகமதாபாத்
noolakaththai,நூலகதததை,நூலகத்தை
kettaal,கேட்டில்,கேட்டாள்
magizhunthu,மகிழ்துது,மகிழுந்து
kavalaippadamal,கவலைப்பட்ட்,கவலைப்படாமல்
thaankal,தாங்கள்,தாங்கல்
bakaa,பகாக____________________,பகா
pinaikkappattavar,பினைக்கப்பட்ட்ட்,பிணைக்கப்பட்டவர்
piriththaar,பிரித்திர்,பிரித்தார்
uruvaakkuvatharku,உருவாக்குககககு,உருவாக்குவதற்கு
yenavethaan,யேனவவதனன,எனவேதான்
colombil,கோலோ்ளில்,கொழும்பில்
seethakkathi,சீதக்கதித,சீதக்காதி
aasram,ஆச்ராம,ஆசிரமம்
lenexa,லெட்கன்,லெனெக்ஸா
euless,ஈலெச்ச்,யுலெஸ்
solvathu,சொல்வது,சொல்வது
koottavum,கூட்டவுுு,கூட்டவும்
adikku,அடிக்கு,அடிக்கு
puthuchchaeri,புசுச்சில்,புதுச்சேரி
paaluravu,பாலுவரு,பாலுறவு
ambalavaanar,அம்பவானன்்,அம்பலவாணர்
maruththiruppargal,மறுத்துர்ப்ப்ர்க்்,மறுத்திருப்பார்கள்
koluppil,கொளுப்பில்,கொழுப்பில்
kuva,குவா்,குவா
eedupattadhaaga,ஈடுபட்டடட்,ஈடுபட்டதாக
rajput,ரா்்படுட்,ராஜ்புட்
beatles,பெட்ஸெஸ்,பீட்டில்ஸ்
musulim,முசுலில்,முசுலீம்
azhiththaar,அழித்திர்,அழித்தார்
maaraaka,மாராக,மாறாக
aavudaiyaal,ஆவுடாயால,ஆவுடையாள்
paso,பசோோ,பசோ
vidukiravanukku,விடுகிவருகககுு,விடுகிறவனுக்கு
parattukkal,பரட்டுக்கள்,பாராட்டுக்கள்
cholunkal,சொலுங்கள்,சொல்லுங்கள்
vangadhaesaththin,வங்கத்த்த்த்்,வங்கதேசத்தின்
sarawagi,சரவாகி,சரவாகி
surendranagar,சுர்ந்ற்ரரர்்,சுரேன்திரநகர்
saantham,சாந்தம்,சாந்தம்
magaadevi,மகாடிவி,மகாதேவி
choottik,சூட்டிக்,சூட்டிக்
pandavargalukkum,பண்டவர்்ககககுுு,பாண்டவர்களுக்கும்
nucleus,நுஸ்சோச்,ந்யூக்லியஸ்
uzhaika,உழைக்,உழைக்க
sent,சென்ட்,செயிண்ட்
roawer,ரிவேர,ரோவர்
untaanathu,உண்ணாதது,உண்டானது
aayvukalukku,ஆய்வுககுகுகு,ஆய்வுகளுக்கு
duke,டுக்க,ட்யூக்
gables,கா்்ிி்,கபிள்ஸ்
vaguththadhu,வகுத்தது,வகுத்தது
pandavargalai,பண்டவரரளளை,பாண்டவர்களை
malarae,மலரே,மலரே
cherinthu,செரிந்து,செறிந்து
tamizhakatthukku,தமிழக்கதுகககு,தமிழகத்துக்கு
paalum,பாலும்,பாலும்
garg,கர்கக,கார்க்
castaneda,காட்டட்ட்,காஸ்டானீடா
sivaprakasa,சிவா்பரர,சிவப்பிரகாச
lakhimpur,லகிமுர்ப்,லக்மிபுர்
kaavalturaik,கவவர்க்க்க,காவல்துறைக்
kethumaalanin,கெதுமுனானன்,கேதுமாலனின்
americavil,அமீரிச்சிில்,அமெரிக்காவில்
illaiyenil,இல்லையினின்,இல்லையெனில்
seerudaikal,சீடுகைகள்,சீருடைகள்
koodadhu,கூதுு,இருக்கக்
rishii,ரிசிய,ரிஷி
kaattuvathaaga,காட்டுவாாக,காட்டுவதாக
dhoni,தொனின___________________,டோனி
solvadhenral,சொல்வவர்்்ன்,சொல்வதென்றால்
noushadhin,நோதாின்,நெளஷதின்
uchchakatta,உச்சச்டடட,உச்சகட்ட
soozhappatirukkira,சூழப்பட்த்ர்க்க,சூழப்பட்டிருக்கிற
textiles,ட்ட்டிில்ல்,டெக்ஸ்டைல்ஸ்
ashok,அசுக்,அசோகா
kuzhandhaay,குழந்தாய,குழந்தாய்
uppsala,உப்பாலல,உப்சாலா
veeraankanaigal,வீராங்களிகள்,வீராங்கனைகள்
vlaadimir,விஜாரிரிர்,விளாடிமிர்
tholumpoathu,தொழும்புபு,தொழும்போது
maththiyatharaik,மத்தியத்ககக,மத்தியதரைக்
rahaaney,ராானான,ரஹானே
nava,நவவ்,நவ
rend,ரெந்த,ரேண்ட்
qool,கோலோ,கூல்
keeran,கேரன்,கிரண்
cipla,சிப்்,சிப்லா
virumbugiraargal,விரும்புர்க்ககக்,விரும்புகிறார்கள்
nashik,நாிகக,நாஷிக்
kudumippidiyum,குடுமிபிப்பியும்,குடுமிப்பிடியும்
arivippugalai,அறிவிப்பைக்,அறிவிப்புகளை
ringk,ரிங்க,ரிங்க்
seidhidavum,செய்துவதும்,செய்திடவும்
francisco,பிரச்சிச்ச,ஃப்ரான்ஸிஸ்கோ
thambathigal,தம்பத்க்்,தம்பதிகள்
peaththi,பீத்தி,பேத்தி
irundhaale,இருந்தில்,இருந்தாலே
rehman,ராம்னன்,ரெஹ்மான்
zed,நெட்ப்,ஜெட்
serththanar,செர்த்தத்,சேர்த்தனர்
vanggikku,வங்குக்கு,வங்கிக்கு
iyakku,இயக்கு,இயக்கு
reilly,ரெல்லைல்,ரைல்லி
thalaimaiyetraar,தலைமையிற்ற்,தலைமையேற்றார்
financial,பினண்களலல,பைனான்சியல்
quantam,காண்தம்,குவாண்டம்
samarppikka,சமர்ப்பிக்க,சமர்ப்பிக்க
magha,மகாக்,மகா
goud,கோட்ட,குட்
myyamaakavum,மியம்கமுமம்,மையமாகவும்
mattaththirkkum,மட்டத்துக்குகும்,மட்டத்திற்கும்
kataisi,கடைசிய,கடைசி
karuththuk,கருத்துக்,கருத்துக்
motihari,மொதிரரி,மோடிஹாரி
sendrullathu,சென்றுபுுு்,சென்றுள்ளது
aatchiyamaikka,ஆட்சியககககக,ஆட்சியமைக்க
