Input,Prediction,Target
castro,சாஸ்ட்ரோ,கேஸ்ட்ரோ
chakrabortty,சக்ரரோர்்ட்டடட,சக்ரபோர்ட்டி
chutalaimaatan,சுட்லைமாடன்,சுடலைமாடன்
melton,டெல்டோன்,மெல்டன்
shahjahanpur,சாஜசன்புரர,ஷாஜஹான்புர்
kyubaa,சியுபா,கியூபா
sadhavaahana,சதவாஹன,சதவாஹன
aapogusil,அபோகுசில்,ஆப்போகசில்
olympia,பல்ம்பிிா,ஒலிம்பியா
centro,சென்றோ,சென்ட்ரோ
itheyvelai,வதெய்வெலை,இதேவேளை
amaiththirunthavargal,வமைத்திருந்தவர்கள்,அமைத்திருந்தவர்கள்
japan,சபன்ன,ஜப்பான்
nasreen,மா்்ரீன்,நஸ்ரின்
puthucheri,புதுச்சேரி,புதுச்சேரியை
haaris,சாரிஸ்,ஹாரிஸ்
emile,கமிழே,எமிலி
seyalpadumpothu,செயல்படும்போது,செயல்படும்போது
viduththullathu,விடுத்துள்ளது,விடுத்துள்ளது
kuraikkappattulladhu,குறைக்கப்பட்டுள்ளது,குறைக்கப்பட்டுள்ளது
forge,கோர்கே,ஃபோர்ஜ்
sekariththu,செகரித்து,சேகரித்து
kuraindhdhavargal,குறைந்தவர்கள்,குறைந்தவர்கள்
silica,சிலிசா,சிலிக்கா
vaachiththavatrin,வாசித்தவற்றின்,வாசித்தவற்றின்
praem,ஹிரேம்,பிரேம்
kooriyiruppadhaavadhuk,கூறியிருப்பதாவதுக்,கூறியிருப்பதாவதுஃ
majesco,டாஜ்ஸ்ோோ,மஜெஸ்கோ
fro,சிரோ,ப்ரோ
vegappandhu,வெகப்பந்து,வேகப்பந்து
pompano,சொம்பனோ,போம்பனோ
seidhullaargal,செய்துள்ளார்கள்,செய்துள்ளார்கள்
vetrtrita,மெற்றிடா,வெற்றிட
kelvinn,கெல்வின்,கெல்வின்
cholar,சோலர்,சோழர்
kelwiin,செல்வின்,கெல்வின்
taklas,மா்லலஸ,டக்ளஸ்
vaanginaal,வாங்கினால்,வாங்கினால்
vanthiyathevan,வந்தியதெவன்,வந்தியத்தேவன்
adheedhamaana,அதீதமான,அதீதமான
thara,மரர,தாரா
maruththullathu,வருத்துள்ளது,மறுத்துள்ளது
aalaiyum,வலையும்,ஆலையம்
kozhuppil,கொழுப்பில்,கொழுப்பில்
kiuubaa,சியுபா,கியூபா
varavirukkum,வரவிருக்கும்,வரவிருக்கும்
kolunthu,கொலுந்து,கொழுந்து
akola,மகோலல,அகோலா
vaanggich,வாங்கிச்,வாங்கிச்
athumattumillamal,அதுமட்டுமில்லமால்,அதுமட்டுமல்லாமல்
cet,ஹெட்ட,பம்ப்
commerce,சமமமமர்்்்்_____________,காமர்ஸ்
tourisamaaga,வௌரிசமாக,டூரிஸமாக
anniyaraanaar,வன்நியரானார்,அந்நியரானார்
santhiraashtamam,சந்திராஷ்டமமம,சந்திராஷ்டமம்
yeppadich,சப்படிச்,எப்படிச்
paathaiyaip,பாதையைப்,பாதையைப்
collins,சோல்லின்ஸ்,காலின்ஸ்
renewables,செனெஜபபலல்்்____________,ரென்யூவபில்ஸ்
aanaiyaththil,அனையத்தில்,ஆணையத்தில்
thambadhiyinarukku,வம்பதியினருக்கு,தம்பதியினருக்கு
africavai,பாபபரிகககக,ஆப்பிரிக்காவை
vaakkuvaathathil,வாக்குவாததில்,வாக்குவாதத்தில்
thaandavamaagath,வாண்டவமாகத்,தாண்டவமாகத்
payirgalaith,பயிர்களைத்,பயிர்களைத்
vidayamaaka,விடயமாக,விடயமாக
kuuttamum,குட்டமும்,கூட்டமும்
wellsh,பெல்ல்ஷ்,வெல்ஷ்
maaligaikku,வாலிகைக்கு,மாளிகைக்கு
kanduvarugindraargal,கண்டுவருகின்றார்கள்,கண்டுவருகின்றார்கள்
apex,டபெெக்்்,அபெக்ஸ்
nutrruvargalukku,வுற்றுவர்களுக்கு,நூற்றுவர்களுக்குக்
leten,செட்ன்,லத்தீன்
makilchchiyudan,வகில்ச்சியுடன்,மகிழ்ச்சியுடன்
thaangak,தாங்கக்,தாங்கக்
zordan,சோர்டனன்,ஜோர்டான்
aasiriyargalukku,வசிரியர்களுக்கு,ஆசிரியர்களுக்கு
aayeraththu,வயேரத்து,ஆயிரத்து
innel,பன்ணெல்,இன்னல்
seiyyappaduvathum,செய்ய்யப்படுவதும்,செய்யப்படுவதும்
solapuram,சொலபுுும்,சோழபுரம்
karthikeeyan,சர்த்திகீயன்,கார்த்திகேயன்
ontruthirandulla,பன்றுதிரண்டுள்ள,ஒன்றுதிரண்டுள்ள
tanu,பனனு,தனு
seyarpatiruppadhaaga,செயற்படிருப்பதாக,செயற்பட்டிருப்பதாக
vaiththiyanaatha,வைத்தியணாத,வைத்தியநாத
cigniti,சிக்னிடி,சிஃக்னிடி
thamilakatthilum,வமிழக்்திலும்,தமிழகத்திலும்
asoogaavai,வசூகாவை,அசோகாவை
akaththikkeerai,வகத்திக்கீரை,அகத்திக்கீரை
excel,சா்்ககெல்,எக்ஸெல்
immakkal,மம்மக்கல்,இம்மக்கள்
koottatthai,கூட்டத்தை,கூட்டத்தை
vivariththullaar,விவரித்துள்ளார்,விவரித்துள்ளார்
veettukkul,வீட்டுக்குள்,வீட்டுக்குள்
insurance,டன்சுரன்்்,இன்சூரன்ஸ்
koduppathaaga,கொடுப்பதாக,கொடுப்பதாக
japanai,சபனை,ஜப்பானை
santhiththup,சந்தித்துப்,சந்தித்துப்
karunakaran,கருணாகரான்,கருணாகரன்
appadip,வப்படிப்,அப்படிப்
kaidhigalai,கைதிகளை,கைதிகளை
thamilagatthilum,வமிழகத்திலும்,தமிழகத்திலும்
poola,பூலா____________________,போலா
kandarinththa,கண்டரிந்த,கண்டறிந்த
palakaiyin,கலகையின்,பலகையின்
inrith,வன்றித்,இன்றித்
thodarbugalaiyum,வொடர்புகளையும்,தொடர்புகளையும்
logistics,சோகிஸ்டிஸ்ஸ்,லாஜிஸ்டிக்ஸ்
noolagangkal,வூலகங்கள்,நூலகங்கள்
nanmaiyae,வன்மையே,நன்மையே
neeraith,வீரைத்,நீரைத்
kovaiyin,கொவையின்,கோவையின்
uudakam,சடகம்,ஊடகம்
thamizhakatthaich,வமிழகத்தைச்,தமிழகத்தைச்
deepanggal,வீபங்கள்,தீபங்கள்
wladimir,பிளடிமமி்்,விளாடிமிர்
uruppugalaiyum,கருப்புகளையும்,உறுப்புகளையும்
mikkavargalaiyum,விக்கவர்களையும்,மிக்கவர்களையும்
assam,பச்சம்,அசாம்
mudiyalai,வுடியலை,முடியலை
melaadhikkangal,வெலாதிக்கங்கள்,மேலாதிக்கங்கள்
aerpadum,அற்படும்,ஏற்படும்
amrishtaril,மம்ரிஷ்டரில்,அம்ரிஸ்டரில்
latchaththirkum,சட்சத்திற்கும்,லட்சத்திற்கும்
unavuch,கனவுச்,உணவுச்
aarae,மரே,ஆறே
kovindhaiyum,சொவிந்தையும்,கோவிந்த்தையும்
munnuthaaranamaaga,வுன்னுதாரனமாக,முன்னுதாரணமாக
olsen,பல்சென்,ஆல்சென்
elagip,கலகிப்,எளகிப்
odici,படிிிி__________________,ஒடிசி
udhagamandalam,கதகமண்டலம்,உதகமண்டலம்
alaihi,மலைஹி,அலைஹி
evaiyae,சவையே,இவையே
geethanjali,சீதஞ்சலி,கீதாஞ்சலி
pethonn,ஹெத்தோன்ன்,பைதான்
kalyaana,சல்யான,கல்யாண
kaahpi,சாஹ்பி,காஃபி
volgaa,வொல்கா,வோல்கா
parisoathiththu,பரிசோதித்து,பரிசோதித்து
perth,ஹெர்த்,பெர்த்
kadhaanaayaki,சதானாயகி,கதாநாயகி
newark,தெவார்க்,நியூவார்க்
diie,மியி,டை
padippaith,சடிப்பைத்,படிப்பைத்
adhirchchiyadaindha,வதிர்ச்சியடைந்த,அதிர்ச்சியடைந்த
uthadugalla,கதடுகள்ல,உதடுகள்ல
aliyum,வலியும்,அலியும்
gita,சிட்டா,கீதை
veruththa,வெருத்த,வெறுத்த
kotturu,கொட்டுரு,கோட்டுரு
nelson,மெல்சொன்,நெல்சன்
cubavil,சபவவவல்,கியூபாவில்
kadarkaraiyil,கடற்கரையில்,கடற்கரையில்
peravaith,செரவைத்,பேரவைத்
chankankalukku,சங்கங்களுக்கு,சங்கங்களுக்கு
saethamadainththu,சேதமடைந்து,சேதமடைந்தது
udambai,சடம்பை,உடம்பை
vidhya,மித்யா,வித்தியா
strong,ச்ட்ரோன்,ஸ்ட்ராங்
azhiththanar,வழித்தனர்,அழித்தனர்
baka,சககா,பகா
ventum,மெண்டும்,கிடைக்க
aangalukkaana,வங்களுக்கான,ஆண்களுக்கான
kalvikkaka,கல்விக்கக,கல்விக்காக
uyirvaalum,சயிர்வாலும்,உயிர்வாழும்
asokan,பசோகான்,அசோகன்
thamilakatthukku,வமிழக்்துக்கு,தமிழகத்துக்கு
theriviththullathaga,வெரிவித்துள்ளதக,தெரிவித்துள்ளதாக
deoghar,தெயோகர்,டியோகர்
mikkathu,விக்கது,மிக்கது
uththirappiradhesa,சத்திரப்பிரதேச,உத்தரப்பிரதேச
inththiyaavai,வந்தியாவை,இந்தியாவை
manudhaarar,வனுதாரர்,மனுதாரர்
nikazhvukalaal,விகழ்வுகளால்,நிகழ்வுகளால்
thandanaiyilirundhu,வண்டனையிலிருந்து,தண்டனையிலிருந்து
sura,சுரா,சுரா
seimadhi,செய்மததத________________,செய்மதி
pearland,ஹெர்லாண்்்்_____________,பியர்லேண்ட்
pinpuramaaka,பின்புறமாக,பின்புறமாக
naarkaali,மார்காலி,நாற்காலி
ivanga,தவங்க,இவங்க
yeitha,சயய்த,எய்த
yedhirkka,சதிர்க்க,எதிர்க்க
inaithidumaaru,வனைதிடுமாரு,இணைத்திடுமாறு
seigira,செய்கிற,செய்கிற
kadambur,சடம்புர்,கடம்பூர்
ivanaippaadiya,வவனைப்பாடிய,இவனைப்பாடிய
pasukkazhil,பசுக்கழில்,பசுக்களில்
kandarinthanar,கண்டரிந்தனர்,கண்டறிந்தனர்
quuantuumm,சூஜண்டுுமம்,குவாண்டம்
munvaiththaar,வுன்வைத்தார்,முன்வைத்தார்
pachchaanaip,பச்சானைப்,பச்சானைப்
snow,ச்னோவோ,ஸ்ணோ
thalaiyittu,வலையிட்டு,தலையிட்டு
delhi,மெல்லி,டெல்லி
fernandez,செர்னா்்டே்்,பெர்ணான்டஸ்
mitra,மிற்றா,மித்ரா
kei,செய்,சாவி
mandadi,மண்டடி,மண்டடி
quuantam,சூாண்டம்,குவாண்டம்
vaedhi,மேதி,வேதி
kaalaththai,காலத்தை,காலத்தை
ilakkiyaththuraikalukku,வலக்கியத்துறைகளுக்கு,இலக்கியத்துறைகளுக்கு
sosalisa,சோசலிச,சோசலிச
abuthaabiyil,அபுதாபியில்,அபுதாபியில்
alam,பலம்,அலம்
amaitthukkondullathu,வமைத்துக்கொண்டுள்ளது,அமைத்துக்கொண்டுள்ளது
manipur,மனனிபபரர்,மணிப்பூர்
aaivukkaana,வய்வுக்கான,ஆய்வுக்கான
pukazhpetraar,புகழ்பெற்றார்,புகழ்பெற்றார்
bhiwani,சிவானி,பிவானி
ezhuthiyullathu,கழுதியுள்ளது,எழுதியுள்ளது
yelimaiyaaka,சலிமையாக,எளிமையாக
maalaikal,வாலைகள்,மாலைகள்
bathilum,சதிலும்,பதிலும்
varigal,மரிகள்,வரிகள்
deccan,டெக்னன்,டெக்கான்
dhonee,மோனீ,டோனி
apinaya,வபினய,அபிநய
yeluthiyullathu,சலுதியுள்ளது,எழுதியுள்ளது
sollukkaana,சொல்லுக்கான,சொல்லுக்கான
siridhazhavu,சிறிதழவு,சிறிதளவு
yookan,கூகா்ன__________________,யோகன்
thodankinen,மொடங்கினேன்,தொடங்கினேன்
fatima,சாதிமா,ஃபாடிமா
thiriththanna,விரித்தன்ன,திரித்தன்ன
gandhimathi,சந்திமததத_______________,காந்திமதி
suthamana,சுதமன,சுத்தமான
ilanthu,வலந்து,இழந்து
avathaaranggal,வவதாரங்கள்,அவதாரங்கள்
tharukintraar,வருகின்றார்,தருகின்றார்
aandilirunththu,வண்டிலிருந்து,ஆண்டிலிருந்து
goolda,சோல்டா,கோல்ட்
ellison,கல்லிசோன்,எலிசன்
athithamana,அதிதமன,அதீதமான
orangal,சரங்கள்,ஓரங்கள்
sreenivaasan,ச்ரீனிவாசன்,ஸ்ரீநிவாசன்
paava,பாவ,பாவ
ottik,பட்டிக்,ஒட்டிக்
palagaiyil,பலகையில்,பலகையில்
kulanthaai,குலந்தாய்,குழந்தாய்
paathikkap,பாதிக்கப்,பாதிக்கப்
kathirveecchin,சதிர்வீச்சின்,கதிர்வீச்சின்
indhuk,தந்துக்,இந்துக்
ventures,மெண்டுரேஸ்,வெண்சூர்ஸ்
monterey,மோன்டரேே,மான்டிரே
izhuthupottavar,வழுதுபோட்டவர்,இழுத்துப்போட்டவர்
povatharku,பொவதற்கு,போவதற்கு
aagividum,அகிவிடும்,ஆகிவிடும்
padutthiya,கடுத்திய,படுத்திய
mudhalvarai,வுதல்வரை,முதல்வரை
thalaimaith,வலைமைத்,தலைமைத்
thoarruviththaar,வோர்வுவித்தார்,தோற்றுவித்தார்
kannikalaich,கண்ணிகளைச்,கண்ணிகளைச்
kaimioo,சைமியோ,கேமியோ
veentum,மீண்டும்,குளிக்க
devaalayam,வேவாளயம்,தேவாலயம்
veluththu,வெளுத்து,வெளுத்து
ooduruvalgalukkum,படுருவள்களுக்கும்,ஊடுருவல்களுக்கும்
naattavargazh,வாட்டவர்கழ்,நாட்டவர்கள்
killeen,கில்லீன்,கில்லீன்
kuudumaana,குடுமான,கூடுமான
kool,சோல்,கூல்
thiranaalikalukkaana,விரணாளிகளுக்கான,மாற்றுத்
seiyappattan,செய்யப்பட்டன்,செய்யப்பட்டான்
vanggak,மங்கக்,வங்கக்
mupparimaana,வுப்பரிமான,முப்பரிமாண
makizhunthu,வகிழுந்து,மகிழுந்து
ippodhey,மப்போதெய்,இப்போதே
udalparumanukkum,கடல்பருமனுக்கும்,உடல்பருமனுக்கும்
bye,சியே,பை
mukaitheen,வுகைதீன்,முகைதீன்
ther,மேர்,தேர்
aarvamum,வர்வமும்,ஆர்வமும்
railgal,சைல்கள்,ரயில்கள்
woonsocket,பூன்சோஸ்க்ட்,வூன்சாகெட்
paththaandu,பத்தாண்டு,பத்தாண்டு
sasthri,சஸ்்்ரி,சாஸ்திரி
sangiligal,சங்கிலிகள்,சங்கிலிகள்
kinna,கின்ன,கிண்ண
uthaviyaalargal,கதவியாளர்கள்,உதவியாளர்கள்
aaksuvaris,மக்சுவரிஸ்,ஆக்சுவரிஸ்
evu,சவு,ஈவு
vaakuvaadham,வாகுவாதம்,வாக்குவாதம்
aayeraththai,வயேரத்தை,ஆயிரத்தை
thodarbuth,வொடர்புத்,தொடர்புத்
rahman,சாமமன்,ரஹ்மான்
miqii,மிகியி,மிக்கி
kaavalthuraip,காவல்துறைப்,காவல்துறைப்
cincinnati,சின்சின்னாத,சின்சினாட்டி
goodyear,சோட்யீர்,குட்யியர்
naalgalil,மால்களில்,நாள்களில்
rand,சான்ட்்,ரேண்ட்
idaippaguthiyilulla,வடைப்பகுதியிலுள்ள,இடைப்பகுதியிலுள்ள
saregama,சரேகமா,ஸரிகம
heidelbergceat,செய்தெல்பெர்க்கே்்,ஹைடில்பெர்க்சியேட்
nicotine,டிகோடிடனட்,நிகோடின்
vitayamaaga,விடையமாக,விடயமாக
paathiyaaka,பாதியாக,பாதியாக
musleem,வுஸ்லீம்,முசுலீம்
nadaththinar,வடத்தினர்,நடத்தினா்
thamillaiyum,வமிழ்லையும்,தமிழையும்
ain,ஹன்ன____________________,ஆன்
mukaththuvaaraththil,வுகத்துவாரத்தில்,முகத்துவாரத்தில்
thoguththaar,வொகுத்தார்,தொகுத்தார்
thodarbukalil,மொடர்புகளில்,தொடர்புகளில்
anpaip,அன்பைப்,அன்பைப்
aalaaga,மலாக,ஆளாக
hattiesburg,சாட்டிஸ்பபர்்்க_________,ஹட்டீஸ்பர்க்
capsyulukku,சப்்்யுுுக்குுு_________,கேப்ஸ்யூலுக்கு
odyssey,பட்்்யே,ஒடிசி
kulaththinaraik,குலத்தினரைக்,குலத்தினரைக்
euro,சரூோ,யூரோ
iniyaavadhu,வனியாவது,இனியாவது
sugar,சுகர்,சுகர்
chakkarattaip,சக்கரட்டைப்,சக்கரத்தைப்
darpoo,மாரபபூ,டர்போ
maruththuvamanaikal,வருத்துவமனைகள்,மருத்துவமனைகள்
ggoo,சோகோ,கூ
vaiththiyasaalaiyin,வைத்தியசாலையின்,வைத்தியசாலையின்
sikar,சிகரர்,சிகர்
mandabaththinullea,வண்டபத்தினுள்ளே,மண்டபத்தினுள்ளே
nelsan,மெல்சன்,நெல்சன்
arai,அரை,அரை
irumal,பருமல்,இருமல்
mision,மிசியனன்,மிஷன்
siridhu,சிறிது,சிறிது
udagaththai,கடகத்தை,ஊடகத்தை
aaruroodu,வருரூடு,ஆறுரோடு
kadarkaraiyilirundhu,கடற்கரையிலிருந்து,கடற்கரையிலிருந்து
kolin,கொலின்,கோளின்
thokaiyee,மொகையீ,தொகையே
maalaiyum,வாலையும்,மாலையும்
thanikthanik,வனிக்தனிக்,தனித்தனிக்
rekla,செக்லா,ரேக்ளா
pilaikalai,பிளைகளை,பிழைகளை
cuubaa,சயபா,கியூபா
manaiviyidam,வனைவியிடம்,மனைவியிடம்
visaka,திசக,விசாகா
azhagi,மழகி,அழகி
keats,செய்ஸ்்்,கீட்ஸ்
kevalmna,கேவல்ம்ன,கேவலம்னா
purigindranar,புரிகின்றனர்,புரிகின்றனர்
vaakkittu,வாக்கிட்டு,வாக்கிட்டு
cofee,சோபபப,காஃபி
uyarmanithargal,சயர்மணிதர்கள்,உயர்மனிதர்கள்
seidharth,செய்தர்த்,சித்தார்த்
surrivara,சுர்ரிவரா,சுற்றிவர
kuuttaaka,குட்டாக,கூட்டாக
paarththukondu,பார்த்துகொண்டு,பார்த்துக்கொண்டு
adhanadippadaiyil,வதனடிப்படையில்,அதனடிப்படையில்
redar,செடர்,ரேடார்
dhayalan,அயலான,தயாளன்
valinadaththinaar,வலினடத்தினார்,வழிநடத்தினார்
sarangpur,சரங்புரர,சாரங்பூர்
independence,டண்டெெண்்ெ்்்்்_________,இண்டிபெண்டென்ஸ்
antriravu,வன்றிரவு,அன்றிரவு
pilaant,பிலாண்ட்,பிளாண்ட்
kuutapata,குடபபப,கூட்டப்பட்ட
soozhappattullathu,சூழப்பட்டுள்ளது,சூழப்பட்டுள்ளது
yooth,சூத்,யூத்
karachii,சரச்சி,கராச்சி
jaunpur,சான்புர்,ஜவுன்புர்
veliyaagavillai,வெளியாகவில்லை,வெளியாகவில்லை
crest,சிரேஸ்ட்,க்ரெஸ்ட்
tholaipaesi,தொலைபேசி,தொலைபேசி
gtpl,ச்ட்ப்ப்,ஜிடிபியல்
thukkamadaiyum,வுக்கமடையும்,துக்கமடையும்
villiyam,வில்லியம்,வில்லியம்
vulagak,முளகக்,உலகக்
azhukku,மழுக்கு,அழுக்கு
firozpur,சிரோோ்புர்,ஃபிரோஸ்புர்
baliga,சலிக,பாலிகா
pallavargal,சல்லவர்கள்,பல்லவர்கள்
pathulaiyil,கதுலையில்,பதுளையில்
thaniththanmaiyaana,வனித்தன்மையான,தனித்தன்மையான
valanguvathudan,வலங்குவதுடன்,வழங்குவதுடன்
serverukku,செர்வேருக்கு,சர்வருக்கு
atharkerpa,வதற்கேற்ப,அதற்கேற்ப
thurubadhanaana,வுருபதனான,துருபதானான
maliq,மலிி்,மாலிக்
conner,சான்னர்,கொன்னர்
koly,கோல்யி,கோலி
chalukkiyarkal,சலுக்கியர்கள்,சாளுக்கியர்கள்
mcmahon,மேக்மாஷ்்்______________,மெக்மஹான்
vazhipattukkollalaam,வழிபட்டுக்கொள்ளாாம்,வழிபட்டுக்கொள்ளலாம்
hpaarm,சிபார்ம்,ஃபார்ம்
kozhukkattai,கொழுக்கட்டை,கொழுக்கட்டை
khammam,சம்மம்,கம்மம்
ahamadabad,அஹமாபத்,அகமதாபாத்
katarkarai,சடட்ககரர,கடற்கரை
piratecam,சிரடடட்கக்்,மத்தியப்
verumaiyaaga,வெருமையாக,வெறுமையாக
molina,வொலினா,மொலினா
kadapa,சடபா,கடப்பா
malaikaattugalin,வலைகாட்டுகளின்,மலைக்காட்டுகளின்
varuvaayth,வருவாய்த்,வருவாய்த்
nasavil,வசவில்,நாசாவில்
theendaamai,மீண்டாமை,தீண்டாமை
jagaragallu,சகரகள்லு,ஜகரகள்ளு
reading,சிடின்ங்,ரீடிஞ்
morena,மொரென,மொரீனா
kidaikkindra,கிடைக்கின்ற,கிடைக்கின்ற
sonthamaa,சொந்தமா,சொந்தமா
titaniuumm,விட்டடியயுமமம,டைட்டானியம்
qamio,சமமியோ,கேமியோ
loodhana,சூதன,லூதியானா
seidhavarukku,செய்தவருக்கு,செய்தவருக்கு
poruththappattirukkum,பொருத்தப்பட்டிருக்கும்,பொருத்தப்பட்டிருக்கும்
karrachi,சர்ரசசச்,கராச்சி
kambankal,சம்பங்கள்,கம்பங்கள்
yaaaraenum,சாரேனும்,யாரேனும்
americaavai,வமெரிகாவை,அமெரிக்காவை
ungalukkaana,கங்களுக்கான,உங்களுக்கான
kooriyathaavathu,சூறியதாவது,கூறியதாவதுஃ
ekadarinaa,ககடரினா,எகடரினா
seibavargalukkum,செய்பவர்களுக்கும்,செய்பவர்களுக்கும்
serverkal,செர்வேர்கள்,சர்வர்கள்
kattumaanam,கட்டுமானம்,கட்டுமானம்
varadhan,அரதன்,வரதன்
virichal,விரிச்லல,விரிசல்
uudaaka,கடாக,ஊடக
busyaaga,சுச்யாக,பிசியாக
hydro,சிட்ரோ,ஹைட்ரோ
niraivetru,விறைவெற்று,நிறைவேற்று
villupuram,வில்லுபுரம்,விழுப்புரம்
waee,பேரே,வேய்
tobaggo,மோபககககக________________,டொபாகோ
murpattaar,வுற்பட்டார்,முற்பட்டார்
noushathin,அூஷதின்,நெளஷதின்
magana,மகனா____________________,மகனா
ahmadabad,அஹமமாாத்,அகமதாபாத்
noolakaththai,வூலகத்தை,நூலகத்தை
kettaal,கெட்டாள்,கேட்டாள்
magizhunthu,வகிழுந்து,மகிழுந்து
kavalaippadamal,கவலைப்படமல்,கவலைப்படாமல்
thaankal,மான்கள்,தாங்கல்
bakaa,சகாாா___________________,பகா
pinaikkappattavar,பினைக்கப்பட்டவர்,பிணைக்கப்பட்டவர்
piriththaar,பிரித்தார்,பிரித்தார்
uruvaakkuvatharku,கருவாக்குவதற்கு,உருவாக்குவதற்கு
yenavethaan,சனவேதான்,எனவேதான்
colombil,சோலோம்பில்,கொழும்பில்
seethakkathi,சீதக்கதி,சீதக்காதி
aasram,பச்ராம,ஆசிரமம்
lenexa,செனேக்க,லெனெக்ஸா
euless,சாலலஸ்,யுலெஸ்
solvathu,சொல்வது,சொல்வது
koottavum,கூட்டவும்,கூட்டவும்
adikku,மடிக்கு,அடிக்கு
puthuchchaeri,புதுச்சேரி,புதுச்சேரி
paaluravu,பாலுறவு,பாலுறவு
ambalavaanar,வம்பலவானர்,அம்பலவாணர்
maruththiruppargal,வருத்திருப்பர்கள்,மறுத்திருப்பார்கள்
koluppil,கொலுப்பில்,கொழுப்பில்
kuva,குவா,குவா
eedupattadhaaga,கடுபட்டதாக,ஈடுபட்டதாக
rajput,சாஜபபு்்்_______________,ராஜ்புட்
beatles,செட்லெஸ்,பீட்டில்ஸ்
musulim,முசுலிம்,முசுலீம்
azhiththaar,வழித்தார்,அழித்தார்
maaraaka,மாராக,மாறாக
aavudaiyaal,வவுடையால்,ஆவுடையாள்
paso,ஹாசோ,பசோ
vidukiravanukku,விடுகிறவனுக்கு,விடுகிறவனுக்கு
parattukkal,கரட்டுக்கல்,பாராட்டுக்கள்
cholunkal,சொலுங்கள்,சொல்லுங்கள்
vangadhaesaththin,வங்கதேசத்தின்,வங்கதேசத்தின்
sarawagi,சரவாகி,சரவாகி
surendranagar,சுரேன்திரனாரர்,சுரேன்திரநகர்
saantham,சாந்தம்,சாந்தம்
magaadevi,மகாடேவி,மகாதேவி
choottik,சூட்டிக்,சூட்டிக்
pandavargalukkum,சண்டவர்களுக்கும்,பாண்டவர்களுக்கும்
nucleus,டுஸ்லீஸ்,ந்யூக்லியஸ்
uzhaika,கழைக,உழைக்க
sent,சென்ட்,செயிண்ட்
roawer,சோவர்,ரோவர்
untaanathu,சண்டானது,உண்டானது
aayvukalukku,வய்வுகளுக்கு,ஆய்வுகளுக்கு
duke,டுகே,ட்யூக்
gables,சபப்லஸ்்,கபிள்ஸ்
vaguththadhu,வகுத்தது,வகுத்தது
pandavargalai,சண்டவர்களை,பாண்டவர்களை
malarae,மலரே,மலரே
cherinthu,செரிந்து,செறிந்து
tamizhakatthukku,வமிழகத்துக்கு,தமிழகத்துக்கு
paalum,காலும்,பாலும்
garg,சார்க்,கார்க்
castaneda,சாஸ்டனனடட,காஸ்டானீடா
sivaprakasa,சிவப்ரககசச,சிவப்பிரகாச
lakhimpur,சகிம்புர்,லக்மிபுர்
kaavalturaik,காவல்டுறைக்,காவல்துறைக்
kethumaalanin,செதுமாலனின்,கேதுமாலனின்
americavil,அமேரிக்கிலல்,அமெரிக்காவில்
illaiyenil,வல்லையெனில்,இல்லையெனில்
seerudaikal,சீருடைகள்,சீருடைகள்
koodadhu,கூடது,இருக்கக்
rishii,சிஷியி,ரிஷி
kaattuvathaaga,காட்டுவதாக,காட்டுவதாக
dhoni,மோனினி,டோனி
solvadhenral,சொல்வதென்றல்,சொல்வதென்றால்
noushadhin,அூஷதின்,நெளஷதின்
uchchakatta,சச்சகட்ட,உச்சகட்ட
soozhappatirukkira,சூழப்படிருக்கிற,சூழப்பட்டிருக்கிற
textiles,டெக்ஸ்டில்ஸ்,டெக்ஸ்டைல்ஸ்
ashok,மஷஷோக்,அசோகா
kuzhandhaay,சுழந்தாய்,குழந்தாய்
uppsala,சப்பஸசல,உப்சாலா
veeraankanaigal,வீராங்கனைகள்,வீராங்கனைகள்
vlaadimir,விளாடிமிர்,விளாடிமிர்
tholumpoathu,வொலும்போது,தொழும்போது
maththiyatharaik,வத்தியதறைக்,மத்தியதரைக்
rahaaney,சாானேய,ரஹானே
nava,தவவா,நவ
rend,செண்ட்,ரேண்ட்
qool,சூல்,கூல்
keeran,சீரன்,கிரண்
cipla,சிப்லா,சிப்லா
virumbugiraargal,விரும்புகிறார்கள்,விரும்புகிறார்கள்
nashik,மஷஷிக்,நாஷிக்
kudumippidiyum,குடுமிப்பிடியும்,குடுமிப்பிடியும்
arivippugalai,வறிவிப்புகளை,அறிவிப்புகளை
ringk,ஹிங்க்,ரிங்க்
seidhidavum,செய்திடவும்,செய்திடவும்
francisco,சிரானிச்ஸோக்____________,ஃப்ரான்ஸிஸ்கோ
thambathigal,வம்பதிகள்,தம்பதிகள்
peaththi,பெத்தி,பேத்தி
irundhaale,இருந்தாலே,இருந்தாலே
rehman,சேஷமன்,ரெஹ்மான்
zed,செட்,ஜெட்
serththanar,செர்த்தனர்,சேர்த்தனர்
vanggikku,வங்கிக்கு,வங்கிக்கு
iyakku,மயக்கு,இயக்கு
reilly,செய்ல்லி,ரைல்லி
thalaimaiyetraar,வலைமையெற்றார்,தலைமையேற்றார்
financial,சினானியால்,பைனான்சியல்
quantam,சுாண்டம்,குவாண்டம்
samarppikka,சமர்ப்பிக்க,சமர்ப்பிக்க
magha,மகக,மகா
goud,சோட்,குட்
myyamaakavum,வியமாகவும்,மையமாகவும்
mattaththirkkum,வட்டத்திற்க்கும்,மட்டத்திற்கும்
kataisi,கட்டிசி,கடைசி
karuththuk,சருத்துக்,கருத்துக்
